time,shoulder link,upper arm link,forearm link,wrist1 link,wrist2 link,wrist3 link,total_reward
143.0,-1.1168835268867499,-0.06408586955389733,-1.1015471584551977,-0.32660968152668546,-0.5137790666211524,-0.13291974424960198,962.3148215008274
144.0,-1.1163100251761418,-0.06427934090941802,-1.1015425804440442,-0.3265669412434258,-0.5138551198413736,-0.137135364419177,962.3148215008274
145.0,-1.1158455486085064,-0.06439247134938118,-1.1015642221356425,-0.32648439355067604,-0.5136868646271855,-0.14105668460793555,962.3148215008274
146.0,-1.1154832934809016,-0.06452941529847175,-1.1015306227224835,-0.3263427775125266,-0.5133746597365139,-0.14489222094225762,962.3148215008274
147.0,-1.1152952980107322,-0.06460018778567057,-1.1016035508442814,-0.32614690870892576,-0.5127633203371036,-0.14835362946038114,962.3148215008274
148.0,-1.115299328055279,-0.06474402464967913,-1.1017834559809643,-0.3261437199570849,-0.5123607437034162,-0.15177682484713298,962.3148215008274
149.0,-1.1154326394848177,-0.06480237584813547,-1.1018671327714782,-0.32606270408881094,-0.5118018995698752,-0.15503937021751457,962.3148215008274
150.0,-1.1156565547750437,-0.06483503972376269,-1.1018379444521589,-0.3257307148352957,-0.5112960869220595,-0.1580931578838846,962.3148215008274
151.0,-1.1158572014376,-0.06482151796462667,-1.1018122542308746,-0.32563819378771597,-0.5109662985640591,-0.1608573587243461,962.3148215008274
152.0,-1.1163120779137992,-0.06493865710928484,-1.101674851303978,-0.32589616137265215,-0.5107681828389669,-0.16572867333349775,962.3148215008274
153.0,-1.1161661030756331,-0.06490457613328976,-1.1012694918666712,-0.32619819993898,-0.5106107427753461,-0.16987316914824974,962.3148215008274
154.0,-1.115646662164898,-0.06474731279229924,-1.1012885324127963,-0.3261577978529836,-0.5103173654267633,-0.17362790979783105,962.3148215008274
155.0,-1.1155877149108948,-0.06461889461365801,-1.1015483866226055,-0.32652682202630373,-0.5097217579702682,-0.1768218527357078,962.3148215008274
156.0,-1.1162466684671415,-0.06461332743554705,-1.1017625354346063,-0.3269476599544675,-0.5099789034905671,-0.17916568868219476,962.3148215008274
157.0,-1.1164696339706979,-0.06468841994177381,-1.1016957811255552,-0.32683870441239493,-0.5101977633740032,-0.18010513966034106,962.3148215008274
158.0,-1.1155096077502864,-0.0647030451060329,-1.101801089482397,-0.3264711855208606,-0.509322517383706,-0.18025296145693478,962.3148215008274
159.0,-1.1143222511985176,-0.06467661146177693,-1.102337549165089,-0.3257022661643113,-0.5078585666696391,-0.18049858930276388,962.3148215008274
160.0,-1.1140941460280056,-0.06474599684100323,-1.1035337528203681,-0.32484564587591785,-0.5066173099764835,-0.18053236171065792,962.3148215008274
161.0,-1.1147419488190506,-0.06498233692416373,-1.1046130572871473,-0.32343722784130347,-0.5051074662146733,-0.1804030289902686,962.3148215008274
162.0,-1.1154918009842698,-0.06494426945626798,-1.1048560821491389,-0.3217453307325406,-0.5036694518622135,-0.179742274566657,962.3148215008274
163.0,-1.1153384256478158,-0.06488919187211707,-1.1046095338572772,-0.32054644475195176,-0.5029473257102611,-0.17824109639920266,962.3148215008274
164.0,-1.1141028792313754,-0.06492414877614514,-1.104312618856924,-0.3194668655604966,-0.5023260223438137,-0.17627725623196025,962.3148215008274
165.0,-1.113420961696809,-0.06523124981788839,-1.1050676981040946,-0.3194818858394627,-0.5016768322927656,-0.17317021273739464,962.3148215008274
166.0,-1.1140304509357406,-0.06524659529727848,-1.1059540688923577,-0.3193954341595349,-0.5022432217035578,-0.16913255248732711,962.3148215008274
167.0,-1.1149565665025911,-0.06494245356403208,-1.106969965147032,-0.3196904598299697,-0.5022104392784558,-0.16559931818602297,962.3148215008274
168.0,-1.1145143377355047,-0.06480906690385635,-1.1067325750990569,-0.3195266668944385,-0.502447472348492,-0.161465646988686,962.3148215008274
169.0,-1.1120254003535823,-0.06488843252696308,-1.106050443585103,-0.31955291709988043,-0.5021625775404872,-0.15650691368591577,962.3148215008274
170.0,-1.110071578576156,-0.06527315327116974,-1.1057798544972208,-0.3186031818796544,-0.49995110523376773,-0.15356144450076342,962.3148215008274
171.0,-1.1111047201772275,-0.06550224154687596,-1.1065377126740927,-0.31831978622018925,-0.49840779295202464,-0.15427440948630466,962.3148215008274
172.0,-1.1160477038639633,-0.06503845975310803,-1.1077952782075255,-0.31815472942408446,-0.4977231179833403,-0.15614468704567633,962.3148215008274
173.0,-1.1226982181516965,-0.06406318104446573,-1.105620646859592,-0.31801910729690164,-0.49466226636877336,-0.1571394075734996,962.3148215008274
174.0,-1.126649716072201,-0.06291490948507385,-1.1024385747175491,-0.31699869447986323,-0.4946575279567597,-0.15820460914218915,962.3148215008274
175.0,-1.1239505746642602,-0.0618796645657808,-1.0982492586194297,-0.31977366045804123,-0.4970671060834926,-0.15847657064250972,962.3148215008274
176.0,-1.1138090544612036,-0.061608679493973806,-1.0972305854214612,-0.32372636634842605,-0.5027820121246827,-0.16040068126345675,962.3148215008274
